algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Turbo Boyer Moore,10000000,2,6,624153,0,32
Weak Turbo Boyer Moore,10000000,2,7,624153,0,34
Weak Turbo Boyer Moore,10000000,2,8,624153,0,32
Weak Turbo Boyer Moore,10000000,2,9,624153,0,37
Naive,10000000,2,0,624153,0,43
Naive,10000000,2,1,624153,0,39
Naive,10000000,2,2,624153,0,37
Naive,10000000,2,3,624153,0,43
Naive,10000000,2,4,624153,0,48
Naive,10000000,2,5,624153,0,41
Naive,10000000,2,6,624153,0,40
Naive,10000000,2,7,624153,0,43
Naive,10000000,2,8,624153,0,42
Naive,10000000,2,9,624153,0,36
KMP,10000000,2,0,624153,0,68
KMP,10000000,2,1,624153,0,68
KMP,10000000,2,2,624153,0,75
KMP,10000000,2,3,624153,0,68
KMP,10000000,2,4,624153,0,70
KMP,10000000,2,5,624153,0,70
KMP,10000000,2,6,624153,0,61
KMP,10000000,2,7,624153,0,72
KMP,10000000,2,8,624153,0,73
KMP,10000000,2,9,624153,0,71
Horspool,10000000,2,0,624153,0,104
Horspool,10000000,2,1,624153,0,107
Horspool,10000000,2,2,624153,0,106
Horspool,10000000,2,3,624153,0,101
Horspool,10000000,2,4,624153,0,98
Horspool,10000000,2,5,624153,0,106
Horspool,10000000,2,6,624153,0,104
Horspool,10000000,2,7,624153,0,107
Horspool,10000000,2,8,624153,0,101
Horspool,10000000,2,9,624153,0,101
Shift-And,10000000,2,0,624153,0,24
Shift-And,10000000,2,1,624153,0,19
Shift-And,10000000,2,2,624153,0,19
Shift-And,10000000,2,3,624153,0,26
Shift-And,10000000,2,4,624153,0,17
Shift-And,10000000,2,5,624153,0,19
Shift-And,10000000,2,6,624153,0,19
Shift-And,10000000,2,7,624153,0,16
Shift-And,10000000,2,8,624153,0,15
Shift-And,10000000,2,9,624153,0,17
Weak Boyer Moore,10000000,2,0,626725,0,40
Weak Boyer Moore,10000000,2,1,626725,0,42
Weak Boyer Moore,10000000,2,2,626725,0,48
Weak Boyer Moore,10000000,2,3,626725,0,46
Weak Boyer Moore,10000000,2,4,626725,0,40
Weak Boyer Moore,10000000,2,5,626725,0,40
Weak Boyer Moore,10000000,2,6,626725,0,41
Weak Boyer Moore,10000000,2,7,626725,0,44
Weak Boyer Moore,10000000,2,8,626725,0,43
Weak Boyer Moore,10000000,2,9,626725,0,37
Weak Memorizing Boyer Moore,10000000,2,0,626725,0,46
Weak Memorizing Boyer Moore,10000000,2,1,626725,0,50
Weak Memorizing Boyer Moore,10000000,2,2,626725,0,49
Weak Memorizing Boyer Moore,10000000,2,3,626725,0,40
Weak Memorizing Boyer Moore,10000000,2,4,626725,0,42
Weak Memorizing Boyer Moore,10000000,2,5,626725,0,48
Weak Memorizing Boyer Moore,10000000,2,6,626725,0,43
Weak Memorizing Boyer Moore,10000000,2,7,626725,0,40
Weak Memorizing Boyer Moore,10000000,2,8,626725,0,51
Weak Memorizing Boyer Moore,10000000,2,9,626725,0,45
