algorithm,text_length,pattern_length,execution,matches,prep_time_ms,time_ms
Weak Turbo Boyer Moore,10000000,2,6,14697,0,30
Weak Turbo Boyer Moore,10000000,2,7,14697,0,30
Weak Turbo Boyer Moore,10000000,2,8,14697,0,29
Weak Turbo Boyer Moore,10000000,2,9,14697,0,32
Naive,10000000,2,0,14697,0,36
Naive,10000000,2,1,14697,0,32
Naive,10000000,2,2,14697,0,32
Naive,10000000,2,3,14697,0,30
Naive,10000000,2,4,14697,0,30
Naive,10000000,2,5,14697,0,29
Naive,10000000,2,6,14697,0,32
Naive,10000000,2,7,14697,0,31
Naive,10000000,2,8,14697,0,29
Naive,10000000,2,9,14697,0,33
KMP,10000000,2,0,14697,0,28
KMP,10000000,2,1,14697,0,30
KMP,10000000,2,2,14697,0,29
KMP,10000000,2,3,14697,0,27
KMP,10000000,2,4,14697,0,26
KMP,10000000,2,5,14697,0,26
KMP,10000000,2,6,14697,0,30
KMP,10000000,2,7,14697,0,27
KMP,10000000,2,8,14697,0,28
KMP,10000000,2,9,14697,0,30
Horspool,10000000,2,0,14697,0,21
Horspool,10000000,2,1,14697,0,20
Horspool,10000000,2,2,14697,0,20
Horspool,10000000,2,3,14697,0,19
Horspool,10000000,2,4,14697,0,19
Horspool,10000000,2,5,14697,0,19
Horspool,10000000,2,6,14697,0,23
Horspool,10000000,2,7,14697,0,21
Horspool,10000000,2,8,14697,0,20
Horspool,10000000,2,9,14697,0,19
Shift-And,10000000,2,0,14697,0,10
Shift-And,10000000,2,1,14697,0,9
Shift-And,10000000,2,2,14697,0,10
Shift-And,10000000,2,3,14697,0,12
Shift-And,10000000,2,4,14697,0,11
Shift-And,10000000,2,5,14697,0,10
Shift-And,10000000,2,6,14697,0,10
Shift-And,10000000,2,7,14697,0,10
Shift-And,10000000,2,8,14697,0,9
Shift-And,10000000,2,9,14697,0,9
Weak Boyer Moore,10000000,2,0,14765,0,19
Weak Boyer Moore,10000000,2,1,14765,0,20
Weak Boyer Moore,10000000,2,2,14765,0,20
Weak Boyer Moore,10000000,2,3,14765,0,21
Weak Boyer Moore,10000000,2,4,14765,0,23
Weak Boyer Moore,10000000,2,5,14765,0,22
Weak Boyer Moore,10000000,2,6,14765,0,18
Weak Boyer Moore,10000000,2,7,14765,0,20
Weak Boyer Moore,10000000,2,8,14765,0,22
Weak Boyer Moore,10000000,2,9,14765,0,18
Weak Memorizing Boyer Moore,10000000,2,0,14765,0,28
Weak Memorizing Boyer Moore,10000000,2,1,14765,0,27
Weak Memorizing Boyer Moore,10000000,2,2,14765,0,26
Weak Memorizing Boyer Moore,10000000,2,3,14765,0,26
Weak Memorizing Boyer Moore,10000000,2,4,14765,0,26
Weak Memorizing Boyer Moore,10000000,2,5,14765,0,29
Weak Memorizing Boyer Moore,10000000,2,6,14765,0,34
Weak Memorizing Boyer Moore,10000000,2,7,14765,0,28
Weak Memorizing Boyer Moore,10000000,2,8,14765,0,25
Weak Memorizing Boyer Moore,10000000,2,9,14765,0,26
Weak Turbo Boyer Moore,10000000,2,0,14765,0,29
Weak Turbo Boyer Moore,10000000,2,1,14765,0,33
Weak Turbo Boyer Moore,10000000,2,2,14765,0,29
Weak Turbo Boyer Moore,10000000,2,3,14765,0,29
Weak Turbo Boyer Moore,10000000,2,4,14765,0,29
Weak Turbo Boyer Moore,10000000,2,5,14765,0,35
Weak Turbo Boyer Moore,10000000,2,6,14765,0,33
Weak Turbo Boyer Moore,10000000,2,7,14765,0,28
Weak Turbo Boyer Moore,10000000,2,8,14765,0,33
Weak Turbo Boyer Moore,10000000,2,9,14765,0,33
Naive,10000000,2,0,14765,0,33
Naive,10000000,2,1,14765,0,36
Naive,10000000,2,2,14765,0,33
Naive,10000000,2,3,14765,0,33
Naive,10000000,2,4,14765,0,31
Naive,10000000,2,5,14765,0,33
Naive,10000000,2,6,14765,0,33
Naive,10000000,2,7,14765,0,36
Naive,10000000,2,8,14765,0,37
Naive,10000000,2,9,14765,0,36
KMP,10000000,2,0,14765,0,31
KMP,10000000,2,1,14765,0,40
KMP,10000000,2,2,14765,0,35
KMP,10000000,2,3,14765,0,33
KMP,10000000,2,4,14765,0,35
KMP,10000000,2,5,14765,0,31
KMP,10000000,2,6,14765,0,31
KMP,10000000,2,7,14765,0,28
KMP,10000000,2,8,14765,0,34
KMP,10000000,2,9,14765,0,28
Horspool,10000000,2,0,14765,0,21
Horspool,10000000,2,1,14765,0,22
Horspool,10000000,2,2,14765,0,21
Horspool,10000000,2,3,14765,0,21
Horspool,10000000,2,4,14765,0,20
Horspool,10000000,2,5,14765,0,20
Horspool,10000000,2,6,14765,0,21
Horspool,10000000,2,7,14765,0,22
Horspool,10000000,2,8,14765,0,26
Horspool,10000000,2,9,14765,0,23
Shift-And,10000000,2,0,14765,0,11
Shift-And,10000000,2,1,14765,0,11
Shift-And,10000000,2,2,14765,0,11
Shift-And,10000000,2,3,14765,0,10
Shift-And,10000000,2,4,14765,0,11
Shift-And,10000000,2,5,14765,0,11
