algorithm,pattern_length,inspections
Weak Memorizing Boyer Moore,3,372501
Weak Turbo Boyer Moore,3,372501
Weak Boyer Moore,3,372183
Weak Memorizing Boyer Moore,3,372183
Weak Turbo Boyer Moore,3,372183
Weak Boyer Moore,3,371611
Weak Memorizing Boyer Moore,3,371611
Weak Turbo Boyer Moore,3,371611
Weak Boyer Moore,3,371983
Weak Memorizing Boyer Moore,3,371983
Weak Turbo Boyer Moore,3,371983
Weak Boyer Moore,3,372505
Weak Memorizing Boyer Moore,3,372505
Weak Turbo Boyer Moore,3,372505
Weak Boyer Moore,3,210655
Weak Memorizing Boyer Moore,3,203690
Weak Turbo Boyer Moore,3,203690
Weak Boyer Moore,3,371285
Weak Memorizing Boyer Moore,3,371285
Weak Turbo Boyer Moore,3,371285
Weak Boyer Moore,3,372527
Weak Memorizing Boyer Moore,3,372527
Weak Turbo Boyer Moore,3,372527
Weak Boyer Moore,3,373101
Weak Memorizing Boyer Moore,3,373101
Weak Turbo Boyer Moore,3,373101
Weak Boyer Moore,3,372289
Weak Memorizing Boyer Moore,3,372289
Weak Turbo Boyer Moore,3,372289
Weak Boyer Moore,3,135416
Weak Memorizing Boyer Moore,3,134825
Weak Turbo Boyer Moore,3,134825
Weak Boyer Moore,3,372114
Weak Memorizing Boyer Moore,3,372114
Weak Turbo Boyer Moore,3,372114
Weak Boyer Moore,3,371922
Weak Memorizing Boyer Moore,3,371922
Weak Turbo Boyer Moore,3,371922
Weak Boyer Moore,3,210011
Weak Memorizing Boyer Moore,3,203007
Weak Turbo Boyer Moore,3,203007
Weak Boyer Moore,3,371423
Weak Memorizing Boyer Moore,3,371423
Weak Turbo Boyer Moore,3,371423
Weak Boyer Moore,3,371797
Weak Memorizing Boyer Moore,3,371797
Weak Turbo Boyer Moore,3,371797
Weak Boyer Moore,3,371433
Weak Memorizing Boyer Moore,3,371433
Weak Turbo Boyer Moore,3,371433
Weak Boyer Moore,3,372598
Weak Memorizing Boyer Moore,3,372598
Weak Turbo Boyer Moore,3,372598
Weak Boyer Moore,3,371587
Weak Memorizing Boyer Moore,3,371587
Weak Turbo Boyer Moore,3,371587
Weak Boyer Moore,3,371568
Weak Memorizing Boyer Moore,3,371568
Weak Turbo Boyer Moore,3,371568
Weak Boyer Moore,3,371774
Weak Memorizing Boyer Moore,3,371774
Weak Turbo Boyer Moore,3,371774
Weak Boyer Moore,3,372285
Weak Memorizing Boyer Moore,3,372285
Weak Turbo Boyer Moore,3,372285
Weak Boyer Moore,3,372442
Weak Memorizing Boyer Moore,3,372442
Weak Turbo Boyer Moore,3,372442
Weak Boyer Moore,3,372465
Weak Memorizing Boyer Moore,3,372465
Weak Turbo Boyer Moore,3,372465
Weak Boyer Moore,3,372403
Weak Memorizing Boyer Moore,3,372403
Weak Turbo Boyer Moore,3,372403
Weak Boyer Moore,3,385979
Weak Memorizing Boyer Moore,3,385404
Weak Turbo Boyer Moore,3,385404
Weak Boyer Moore,3,371610
Weak Memorizing Boyer Moore,3,371610
Weak Turbo Boyer Moore,3,371610
Weak Boyer Moore,3,370700
Weak Memorizing Boyer Moore,3,370700
