algorithm,pattern_length,inspections
Weak Boyer Moore,4,2486693
Weak Memorizing Boyer Moore,4,2410246
Weak Turbo Boyer Moore,4,2410246
Weak Boyer Moore,4,2485188
Weak Memorizing Boyer Moore,4,2408651
Weak Turbo Boyer Moore,4,2408651
Weak Boyer Moore,4,2383861
Weak Memorizing Boyer Moore,4,2357834
Weak Turbo Boyer Moore,4,2357834
Weak Boyer Moore,4,1965547
Weak Memorizing Boyer Moore,4,1752969
Weak Turbo Boyer Moore,4,1752969
Weak Boyer Moore,4,2046700
Weak Memorizing Boyer Moore,4,2046700
Weak Turbo Boyer Moore,4,2046700
Weak Boyer Moore,4,2049117
Weak Memorizing Boyer Moore,4,2049117
Weak Turbo Boyer Moore,4,2049117
Weak Boyer Moore,4,1878343
Weak Memorizing Boyer Moore,4,1683839
Weak Turbo Boyer Moore,4,1683839
Weak Boyer Moore,4,2050841
Weak Memorizing Boyer Moore,4,2050841
Weak Turbo Boyer Moore,4,2050841
Weak Boyer Moore,4,2167229
Weak Memorizing Boyer Moore,4,2106423
Weak Turbo Boyer Moore,4,2022389
Weak Boyer Moore,4,2167758
Weak Memorizing Boyer Moore,4,2106536
Weak Turbo Boyer Moore,4,2023186
Weak Boyer Moore,4,2048485
Weak Memorizing Boyer Moore,4,2048485
Weak Turbo Boyer Moore,4,2048485
Weak Boyer Moore,4,2046561
Weak Memorizing Boyer Moore,4,2046561
Weak Turbo Boyer Moore,4,2046561
Weak Boyer Moore,4,1303388
Weak Memorizing Boyer Moore,4,1197311
Weak Turbo Boyer Moore,4,1197311
Weak Boyer Moore,4,2380757
Weak Memorizing Boyer Moore,4,2354726
Weak Turbo Boyer Moore,4,2354726
Weak Boyer Moore,4,2047192
Weak Memorizing Boyer Moore,4,2047192
Weak Turbo Boyer Moore,4,2047192
Weak Boyer Moore,4,2047892
Weak Memorizing Boyer Moore,4,2047892
Weak Turbo Boyer Moore,4,2047892
Weak Boyer Moore,4,1875172
Weak Memorizing Boyer Moore,4,1680469
Weak Turbo Boyer Moore,4,1680469
Weak Boyer Moore,4,1308590
Weak Memorizing Boyer Moore,4,1201532
Weak Turbo Boyer Moore,4,1201532
Weak Boyer Moore,4,2045403
Weak Memorizing Boyer Moore,4,2045403
Weak Turbo Boyer Moore,4,2045403
Weak Boyer Moore,4,1875604
Weak Memorizing Boyer Moore,4,1680394
Weak Turbo Boyer Moore,4,1680394
Weak Boyer Moore,4,2381789
Weak Memorizing Boyer Moore,4,2355477
Weak Turbo Boyer Moore,4,2355477
Weak Boyer Moore,4,1878206
Weak Memorizing Boyer Moore,4,1683702
Weak Turbo Boyer Moore,4,1683702
Weak Boyer Moore,4,2384195
Weak Memorizing Boyer Moore,4,2358223
Weak Turbo Boyer Moore,4,2358223
Weak Boyer Moore,4,2482280
Weak Memorizing Boyer Moore,4,2406544
Weak Turbo Boyer Moore,4,2406544
Weak Boyer Moore,4,2167763
Weak Memorizing Boyer Moore,4,2106337
Weak Turbo Boyer Moore,4,2023441
Weak Boyer Moore,4,2048450
Weak Memorizing Boyer Moore,4,2048450
Weak Turbo Boyer Moore,4,2048450
Weak Boyer Moore,4,2047456
Weak Memorizing Boyer Moore,4,2047456
Weak Turbo Boyer Moore,4,2047456
Weak Boyer Moore,4,2383155
Weak Memorizing Boyer Moore,4,2357117
Weak Turbo Boyer Moore,4,2357117
Weak Boyer Moore,4,2050017
Weak Memorizing Boyer Moore,4,2050017
Weak Turbo Boyer Moore,4,2050017
Weak Boyer Moore,4,965550
Weak Memorizing Boyer Moore,4,895779
Weak Turbo Boyer Moore,4,895779
Weak Boyer Moore,4,2046282
Weak Memorizing Boyer Moore,4,2046282
Weak Turbo Boyer Moore,4,2046282
Weak Boyer Moore,4,2049120
Weak Memorizing Boyer Moore,4,2049120
Weak Turbo Boyer Moore,4,2049120
Weak Boyer Moore,4,2050213
Weak Memorizing Boyer Moore,4,2050213
Weak Turbo Boyer Moore,4,2050213
Weak Boyer Moore,4,2629703
Weak Memorizing Boyer Moore,4,2539090
Weak Turbo Boyer Moore,4,2539090
Weak Boyer Moore,4,2385419
Weak Memorizing Boyer Moore,4,2359103
Weak Turbo Boyer Moore,4,2359103
Weak Boyer Moore,4,1878534
Weak Memorizing Boyer Moore,4,1684030
Weak Turbo Boyer Moore,4,1684030
Weak Boyer Moore,4,2381171
Weak Memorizing Boyer Moore,4,2355203
Weak Turbo Boyer Moore,4,2355203
Weak Boyer Moore,4,2047942
Weak Memorizing Boyer Moore,4,2047942
Weak Turbo Boyer Moore,4,2047942
Weak Boyer Moore,4,2487451
Weak Memorizing Boyer Moore,4,2410603
Weak Turbo Boyer Moore,4,2410603
Weak Boyer Moore,5,2058451
Weak Memorizing Boyer Moore,5,2052955
Weak Turbo Boyer Moore,5,2052955
Weak Boyer Moore,5,1303080
Weak Memorizing Boyer Moore,5,1197281
Weak Turbo Boyer Moore,5,1197281
Weak Boyer Moore,5,1924685
Weak Memorizing Boyer Moore,5,1878109
Weak Turbo Boyer Moore,5,1820781
Weak Boyer Moore,5,1799740
Weak Memorizing Boyer Moore,5,1799740
Weak Turbo Boyer Moore,5,1799740
