algorithm,pattern_length,inspections
Weak Turbo Boyer Moore,7,4457375
Weak Boyer Moore,7,4890630
Weak Memorizing Boyer Moore,7,4304800
Weak Turbo Boyer Moore,7,4043695
Weak Boyer Moore,7,5282520
Weak Memorizing Boyer Moore,7,4820865
Weak Turbo Boyer Moore,7,4820865
Weak Boyer Moore,7,4813324
Weak Memorizing Boyer Moore,7,4576175
Weak Turbo Boyer Moore,7,4332895
Weak Boyer Moore,7,4480807
Weak Memorizing Boyer Moore,7,4450820
Weak Turbo Boyer Moore,7,4450820
Weak Boyer Moore,7,2724956
Weak Memorizing Boyer Moore,7,2444959
Weak Turbo Boyer Moore,7,2444959
Weak Boyer Moore,7,2760021
Weak Memorizing Boyer Moore,7,2474355
Weak Turbo Boyer Moore,7,2474355
Weak Boyer Moore,7,4663255
Weak Memorizing Boyer Moore,7,4587473
Weak Turbo Boyer Moore,7,4030283
Weak Boyer Moore,7,4708019
Weak Memorizing Boyer Moore,7,4472172
Weak Turbo Boyer Moore,7,4296054
Weak Boyer Moore,7,4324013
Weak Memorizing Boyer Moore,7,4005835
Weak Turbo Boyer Moore,7,4005835
Weak Boyer Moore,7,5043023
Weak Memorizing Boyer Moore,7,4395359
Weak Turbo Boyer Moore,7,4098504
Weak Boyer Moore,7,5055813
Weak Memorizing Boyer Moore,7,4566739
Weak Turbo Boyer Moore,7,3947057
Weak Boyer Moore,7,4901834
Weak Memorizing Boyer Moore,7,4774247
Weak Turbo Boyer Moore,7,4630812
Weak Boyer Moore,7,4059394
Weak Memorizing Boyer Moore,7,3610987
Weak Turbo Boyer Moore,7,3610987
Weak Boyer Moore,7,4273446
Weak Memorizing Boyer Moore,7,3789002
Weak Turbo Boyer Moore,7,3789002
Weak Boyer Moore,7,4701933
Weak Memorizing Boyer Moore,7,4538273
Weak Turbo Boyer Moore,7,3929637
Weak Boyer Moore,7,3876210
Weak Memorizing Boyer Moore,7,3627796
Weak Turbo Boyer Moore,7,3422261
Weak Boyer Moore,7,4201999
Weak Memorizing Boyer Moore,7,3883821
Weak Turbo Boyer Moore,7,3883821
Weak Boyer Moore,7,4711251
Weak Memorizing Boyer Moore,7,4344750
Weak Turbo Boyer Moore,7,4344750
Weak Boyer Moore,7,4949460
Weak Memorizing Boyer Moore,7,4666368
Weak Turbo Boyer Moore,7,4241392
Weak Boyer Moore,7,4541669
Weak Memorizing Boyer Moore,7,4472687
Weak Turbo Boyer Moore,7,4295204
Weak Boyer Moore,7,3397510
Weak Memorizing Boyer Moore,7,3003070
Weak Turbo Boyer Moore,7,3003070
Weak Boyer Moore,7,3503962
Weak Memorizing Boyer Moore,7,3095005
Weak Turbo Boyer Moore,7,3095005
Weak Boyer Moore,7,5159905
Weak Memorizing Boyer Moore,7,5046014
Weak Turbo Boyer Moore,7,4561038
Weak Boyer Moore,7,5606307
Weak Memorizing Boyer Moore,7,5184567
Weak Turbo Boyer Moore,7,4880043
Weak Boyer Moore,7,5593958
Weak Memorizing Boyer Moore,7,4972438
Weak Turbo Boyer Moore,7,4357562
Weak Boyer Moore,7,4645089
Weak Memorizing Boyer Moore,7,4278716
Weak Turbo Boyer Moore,7,4278716
Weak Boyer Moore,7,4634542
Weak Memorizing Boyer Moore,7,4344515
Weak Turbo Boyer Moore,7,3855059
Weak Boyer Moore,7,4368118
Weak Memorizing Boyer Moore,7,4184882
Weak Turbo Boyer Moore,7,3937460
Weak Boyer Moore,7,3988236
Weak Memorizing Boyer Moore,7,3539829
Weak Turbo Boyer Moore,7,3539829
Weak Boyer Moore,7,4311651
Weak Memorizing Boyer Moore,7,3827046
Weak Turbo Boyer Moore,7,3827046
Weak Boyer Moore,7,5159182
Weak Memorizing Boyer Moore,7,5010612
Weak Turbo Boyer Moore,7,4563839
Weak Boyer Moore,7,5026936
Weak Memorizing Boyer Moore,7,4564099
Weak Turbo Boyer Moore,7,4252754
Weak Boyer Moore,7,5655354
Weak Memorizing Boyer Moore,7,4950051
Weak Turbo Boyer Moore,7,4492127
Weak Boyer Moore,7,4778948
Weak Memorizing Boyer Moore,7,4412502
Weak Turbo Boyer Moore,7,4412502
Weak Boyer Moore,7,4910440
Weak Memorizing Boyer Moore,7,4692705
Weak Turbo Boyer Moore,7,4280034
Weak Boyer Moore,7,4365422
Weak Memorizing Boyer Moore,7,4342177
Weak Turbo Boyer Moore,7,4342177
Weak Boyer Moore,7,2184113
Weak Memorizing Boyer Moore,7,2002922
Weak Turbo Boyer Moore,7,2002922
Weak Boyer Moore,7,2180885
Weak Memorizing Boyer Moore,7,2000682
Weak Turbo Boyer Moore,7,2000682
Weak Boyer Moore,7,4363691
Weak Memorizing Boyer Moore,7,4340555
Weak Turbo Boyer Moore,7,4340555
Weak Boyer Moore,7,4910575
Weak Memorizing Boyer Moore,7,4692272
Weak Turbo Boyer Moore,7,4279357
Weak Boyer Moore,7,4781521
Weak Memorizing Boyer Moore,7,4414959
Weak Turbo Boyer Moore,7,4414959
Weak Boyer Moore,7,5653736
