algorithm,pattern_length,inspections
Weak Boyer Moore,8,1320465
Weak Memorizing Boyer Moore,8,1320045
Weak Turbo Boyer Moore,8,1311744
Weak Boyer Moore,8,1991747
Weak Memorizing Boyer Moore,8,1976202
Weak Turbo Boyer Moore,8,1963866
Weak Boyer Moore,8,1991527
Weak Memorizing Boyer Moore,8,1976104
Weak Turbo Boyer Moore,8,1963683
Weak Boyer Moore,8,1322744
Weak Memorizing Boyer Moore,8,1322256
Weak Turbo Boyer Moore,8,1314283
Weak Boyer Moore,8,1991971
Weak Memorizing Boyer Moore,8,1976380
Weak Turbo Boyer Moore,8,1963963
Weak Boyer Moore,8,1275139
Weak Memorizing Boyer Moore,8,1171756
Weak Turbo Boyer Moore,8,1167843
Weak Boyer Moore,8,1278537
Weak Memorizing Boyer Moore,8,1174708
Weak Turbo Boyer Moore,8,1169871
Weak Boyer Moore,8,2234225
Weak Memorizing Boyer Moore,8,2164951
Weak Turbo Boyer Moore,8,2083142
